body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_pos_21,joint_pos_22,joint_pos_23,joint_pos_24,joint_pos_25,joint_pos_26,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26
0.000000,-0.000000,0.925000,0.999679,0.000119,0.025321,-0.000058,0.019163,-0.044722,-0.460802,0.838793,-0.429463,-0.017081,-0.016124,0.040454,-0.438201,0.834425,-0.447478,0.013808,0.000000,0.125522,-0.001011,-0.000660,-0.380132,0.000085,-0.000357,0.000630,0.124448,0.002689,0.000638,-0.386690,-0.000084,0.000346,0.000655,0.000300,-0.001300,-0.003600,-0.001448,0.004850,-0.002000,-0.000050,-0.001400,-0.004199,0.000653,0.003500,-0.001350,0.000000,-0.000700,-0.000950,0.000000,-0.002350,0.000000,0.000000,0.000000,0.000300,-0.000400,-0.000050,0.001250,0.000000,0.000000,-0.000050
-0.000045,-0.000023,0.925004,0.999679,0.000119,0.025321,-0.000058,0.019169,-0.044748,-0.460874,0.838764,-0.429366,-0.017121,-0.016125,0.040426,-0.438285,0.834438,-0.447408,0.013781,0.000000,0.125508,-0.001030,-0.000660,-0.380179,0.000085,-0.000357,0.000630,0.124454,0.002681,0.000637,-0.386665,-0.000084,0.000346,0.000654,0.000525,-0.001000,-0.003275,-0.001925,0.004950,-0.001900,0.000225,-0.001075,-0.004100,0.000276,0.003725,-0.001400,0.000000,-0.000625,-0.000900,0.000000,-0.002325,0.000000,0.000000,0.000000,0.000250,-0.000350,-0.000050,0.001225,0.000000,0.000025,-0.000025
-0.000089,-0.000049,0.925010,0.999679,0.000132,0.025322,-0.000044,0.019184,-0.044762,-0.460933,0.838716,-0.429265,-0.017157,-0.016115,0.040411,-0.438365,0.834436,-0.447329,0.013752,0.000000,0.125497,-0.001047,-0.000660,-0.380225,0.000085,-0.000357,0.000630,0.124458,0.002675,0.000636,-0.386641,-0.000084,0.000347,0.000654,0.001025,-0.000550,-0.003126,-0.002575,0.005275,-0.001975,0.000775,-0.000575,-0.004050,-0.000501,0.004350,-0.001850,0.000000,-0.000550,-0.000825,0.000000,-0.002375,0.000000,0.000025,0.000025,0.000225,-0.000250,-0.000025,0.001249,0.000000,0.000050,-0.000025
-0.000137,-0.000078,0.925017,0.999679,0.000152,0.025328,-0.000031,0.019210,-0.044770,-0.460999,0.838661,-0.429155,-0.017200,-0.016094,0.040403,-0.438447,0.834418,-0.447234,0.013707,0.000000,0.125486,-0.001063,-0.000660,-0.380274,0.000085,-0.000356,0.000631,0.124463,0.002671,0.000636,-0.386615,-0.000084,0.000348,0.000653,0.001250,-0.000350,-0.003050,-0.002499,0.005075,-0.001850,0.000975,-0.000325,-0.003850,-0.000750,0.004376,-0.001750,0.000000,-0.000525,-0.000825,0.000000,-0.002325,0.000000,0.000050,0.000025,0.000250,-0.000275,-0.000050,0.001250,0.000000,0.000025,-0.000025
-0.000179,-0.000103,0.925024,0.999679,0.000152,0.025328,-0.000031,0.019234,-0.044776,-0.461055,0.838616,-0.429062,-0.017231,-0.016076,0.040398,-0.438519,0.834406,-0.447154,0.013682,0.000000,0.125476,-0.001080,-0.000660,-0.380318,0.000085,-0.000355,0.000631,0.124468,0.002664,0.000634,-0.386591,-0.000084,0.000348,0.000653,0.001300,-0.000175,-0.002725,-0.001751,0.004224,-0.001750,0.001025,-0.000200,-0.003375,-0.000450,0.003700,-0.001425,0.000000,-0.000450,-0.000775,0.000000,-0.002075,0.000000,0.000025,0.000000,0.000275,-0.000275,-0.000075,0.001150,0.000000,0.000000,0.000000
-0.000215,-0.000127,0.925028,0.999679,0.000159,0.025331,-0.000027,0.019262,-0.044777,-0.461108,0.838591,-0.428986,-0.017270,-0.016053,0.040395,-0.438582,0.834400,-0.447086,0.013650,0.000000,0.125468,-0.001094,-0.000660,-0.380357,0.000085,-0.000355,0.000631,0.124474,0.002660,0.000633,-0.386569,-0.000084,0.000348,0.000653,0.001575,-0.000125,-0.002675,-0.001225,0.003825,-0.002075,0.001300,-0.000150,-0.003175,-0.000225,0.003400,-0.001425,0.000000,-0.000425,-0.000775,0.000000,-0.002025,0.000000,0.000000,0.000025,0.000375,-0.000250,-0.000050,0.001175,0.000000,0.000000,0.000000
-0.000254,-0.000153,0.925032,0.999679,0.000165,0.025332,-0.000024,0.019297,-0.044781,-0.461162,0.838567,-0.428909,-0.017314,-0.016024,0.040392,-0.438646,0.834397,-0.447018,0.013625,0.000000,0.125459,-0.001111,-0.000660,-0.380399,0.000085,-0.000355,0.000632,0.124483,0.002654,0.000632,-0.386544,-0.000084,0.000348,0.000653,0.001975,-0.000125,-0.002925,-0.000775,0.003700,-0.002200,0.001750,-0.000100,-0.003400,0.000225,0.003375,-0.001925,0.000000,-0.000500,-0.000875,-0.000025,-0.002250,0.000000,0.000000,0.000025,0.000475,-0.000325,-0.000075,0.001300,0.000000,0.000000,0.000000
-0.000294,-0.000185,0.925034,0.999679,0.000167,0.025330,-0.000022,0.019341,-0.044782,-0.461225,0.838560,-0.428838,-0.017358,-0.015983,0.040391,-0.438718,0.834409,-0.446951,0.013573,0.000000,0.125448,-0.001129,-0.000661,-0.380447,0.000085,-0.000355,0.000632,0.124493,0.002647,0.000630,-0.386517,-0.000084,0.000348,0.000653,0.002050,-0.000100,-0.003450,0.000550,0.003000,-0.002100,0.001900,-0.000125,-0.003801,0.001350,0.002775,-0.002275,0.000000,-0.000575,-0.000900,-0.000050,-0.002275,0.000000,0.000000,0.000000,0.000500,-0.000375,-0.000100,0.001249,0.000000,0.000000,0.000000
-0.000331,-0.000212,0.925032,0.999679,0.000167,0.025330,-0.000022,0.019379,-0.044785,-0.461300,0.838589,-0.428789,-0.017398,-0.015948,0.040387,-0.438798,0.834451,-0.446907,0.013534,0.000000,0.125436,-0.001147,-0.000662,-0.380490,0.000085,-0.000355,0.000632,0.124503,0.002639,0.000628,-0.386494,-0.000084,0.000348,0.000653,0.001975,-0.000100,-0.003725,0.001800,0.002025,-0.001975,0.001750,-0.000150,-0.004000,0.002424,0.001825,-0.001600,0.000000,-0.000575,-0.000825,-0.000025,-0.002050,0.000000,0.000000,0.000000,0.000475,-0.000350,-0.000075,0.001125,0.000000,0.000000,0.000000
-0.000363,-0.000239,0.925028,0.999679,0.000167,0.025325,-0.000017,0.019420,-0.044786,-0.461374,0.838632,-0.428757,-0.017437,-0.015913,0.040385,-0.438878,0.834506,-0.446878,0.013509,0.000000,0.125425,-0.001162,-0.000662,-0.380529,0.000085,-0.000355,0.000632,0.124512,0.002633,0.000627,-0.386472,-0.000084,0.000348,0.000653,0.002125,-0.000050,-0.004075,0.002624,0.001524,-0.002100,0.001900,-0.000075,-0.004350,0.003225,0.001375,-0.001750,0.000000,-0.000600,-0.000800,-0.000025,-0.002025,0.000000,0.000000,0.000000,0.000475,-0.000350,-0.000075,0.001150,0.000000,-0.000025,0.000000
